Timestamp,Sex,Age,Sexuality ,Race,College,Major,Year,General Prompt,Anger Prompt,word count (prompt 1),word count (prompt 2)
2/27/2024 11:58:32,Female,21,Queer/ LGBTQIA+,Asian (including South Asian and Southeast Asian),Fine Arts,Arts and Entertainment Technologies,Senior,"My week was very stressful. Last week I had a few panic attacks in anticipation of telling my parents something important that I knew they wouldn’t be happy with. On Friday I decided to let my mom know and she responded with anger and brief conversation before hanging up. Ever since they’ve been avoiding me ever since and also my brother hasn’t been as supportive as I hoped. Additionally I have a lot of projects with deadlines. Overall I feel anxious and just want the next month to pass. I hate the feeling of drowning in work. everything is due in the next couple weeks so I’m trying to get it done on top of my job.   Today I tried to reach out to my mom and now she wants to talk, but it makes me anxious. Also today I’m having my first performance review ever and I’m pretty nervous. Overall just a anxiety filled week. While I do feel anxious I also feel pretty determined to stand my ground and get everything done. I feel like I can do it, but it sucks that my anxiety gets in the way. I also feel really tired and want to work on lessening my load. ","I felt angry recently. I feel frustrated at my family for not being accepting. Typically I just tell someone when I’m angry and then tell myself it’s ok to be angry. Later I just cool down and let it go. I can’t really control other peoples reactions but I can control my own. When I do get angry especially at my family it can be scary for me because all my past resentment will come back up and it’s hard for me not to be really negative. It feels like a black hole or slippery slope lol. The specific moment where I got angry was when my brother started defending my parents, so I texted him a long paragraph countering all his points. I then called my friends and began to show them why I was annoyed with my brother and they backed me up. Typically I get less angry and more analytical when I start talking it out and feel supportive. I think usually my anxiety of confrontation is stronger than my anger, so even though I still feel angry I feel more anxious rn and just want everything to go back to normal.",204,195
2/27/2024 12:20:35,Male,19,Queer/ LGBTQIA+,"White, Hispanic/ Latino",Engineering,Aerospace Engineering ,Sophomore,"My week was good, it’s been very hectic I have a lot of tests this week and I have to meet with my research professor and give a presentation on all the work I have accomplished. That’s super stressful for me because I haven’t presented in a long time and I’m very afraid I’m gonna mess it up or he’s gonna be mad at me, so I have to practice that. So I was locked in yesterday for 12 hours at the PCL just grinding out work. Also I’m getting so lost in a lot of my classes like stuff is going right over my head and I have no idea what to do about it other than to grind through like how am I supposed to get a good grade on tests if I can’t even pay attention in class. At least I attend I know so many people that don’t even attend class. Other than that no significant events. I had dinner on Saturday with m friends and that was really fun, and I’ve been having girl problems but that’s about it and I’d rather not think about that.","About 2 weeks ago this girl that I had a past with told me she actually did have feelings for me. Context, early December she went through a break up around new years we kind got together and I really liked her but she said “I can’t do this”, and she basically told me to get over me and for the next two months I kinda felt like she was stringing me along. As I was finally getting over her and we were trying to be friends she drunk calls me and says she actually has liked me for a while. But she didn’t actually say that all she said was I’m confused about my feelings for “some people”. Because god forbid she communicates clearly. And so I had to dig through her words until she would finally admit it. And it’s like if your confused why would you tell me? I don’t want to know that we’re supposed to be friends. And if you liked me why would you say that your confused just tell me you like me. It just really pissed me off.",191,186
2/27/2024 14:04:00,Female,21,Queer/ LGBTQIA+,Hispanic/ Latino,Fine Arts,Art History,Junior,"So far, my week hasn’t been insanely significant. My weekend was pretty fun as I went out of town with one of my student organization’s and I was able to interact with a lot of CS students. I loved getting to know new people as well as seeing their perspectives on tech. Since it was a hackathon, I also had the privilege of seeing the applications and websites that the students were building! Very inspiring to start coding as a hobby. Although this week itself hasn’t been too crazy, I will be celebrating a 13 month anniversary with my partner. I am feeling very grateful to have them in my love, as well as just feeling very lovey and happy to have completed 13 months!! It is going to be a busier couple of weeks for me as midterms ramp up and I have exams coming up, but I am glad to at least be able to celebrate something sweet with my partner despite the upcoming stress.","One time I recently experienced anger may have been earlier today in one of my classes. Today, we were discussing the business aspect of jewelry companies that source their own raw materials (meaning they are in charge of their mining facilities). Specifically, the company we were discussing had their mining facilities in South Africa and they were complicit in a lot of the exploitation and modern day apartheid slavery in South Africa. Although the company later experienced radical change under a new CEO, a lot of my peers had very “interesting” takes on the position of the company. It was very enraging to say the least as these issues deal with real people. As well as the recent attention in exploitation of people in places like in Congo. It was disappointing to see how little my classmates were able to tie the themes of this company to real world issues. ",167,150
2/27/2024 14:23:38,Female,21,Queer/ LGBTQIA+,White,Liberal Arts,Plan II/Psychology,Senior,"This week I watched Napoleon Dynamite for the first time and I really liked it actually, and that made me happy, except I didn't sleep very much that night and woke up feeling like a ZOMBIE. I slogged through my lab shift Monday but made it through (yay!) before running some errands and then going on a walk with my friend and his dog, which was super nice. That evening I went to weightlifting and had a really great training session, and finished up some exam grading, which actually wasn't as painful as I thought it would be. The next day was a little tiring because I had a lot of classes in a row, but all of them were mildly interesting and I was at least happy to be there. I gave a presentation in my honors class, and it was really well received, people asked great questions and seemed to like my experiment #yay","A time I recently felt anger has to do with my Honors Thesis experiment in the lab. Our original time when we were going to run my rats depended on an experiment finishing in time, and that experiment is not done. I was frustrated because I feel like no one in the lab vouched for me, and I needed to speak up for myself to run my experiment earlier or during winter break or something. Our only option now is to run them at the end of the day, which makes everyone's life super difficult since there will be so many rats running and mine will run super late. I'll have to change up my schedule to accommodate the running time for my rats, and I'll have very little help from other people at the end of the day, which is really really frustrating. I just feel like I'm running uphill to get this experiment done and no one cares about it except me.  ",156,164
2/27/2024 14:26:31,Male,20,Straight,Asian (including South Asian and Southeast Asian),Natural Sciences,Neuroscience,Sophomore,"My week has been good. I spent a lot of time being productive, getting work done, and taking tests, which made me feel very relieved at the end of the week. I felt that I could take some time to relax and did so by being around my friends. I felt as if I became closer to my friends/former acquaintances, which is extremely fulfilling for me. At the same time, I spent a lot of time with friends during the week when I could have been more focused, and I feel guilty and frustrated about that. A lot of my self-worth is based on my determination and ability to work hard, so not putting my best into my work last week took away from my perception of myself. Overall, this week was positive, both personally and professionally. I think I often try to strike a balance between the two aspects of my life and try to redirect myself when I stray from that balance. This week has enabled me to redirect myself, and I think I am better off because of it.","Most recently, I have felt anger due to my personal relationships. Often, I tend to overanalyze my interactions with people and take note of their actions, words, and various cues that may indicate certain things. Recently, people around me have seemed distant, and I have formed the idea that it is because they don't see me as important to their lives. My circle tends to be quite small, and I put in the time to ensure those connections are strong. However, I feel as if the people on the other end don't feel the need to put in that same effort. Eventually, I end up thinking that the other person is actively trying to separate themselves from me. While that is something I can live with, I feel as if they try to break my connections with others too. As someone with a small circle, that is extremely damaging, and I can't help but feel anger at those friends for doing that. But, in the end, I'll never know what the truth is, so I'll have to let the anger go at some point.",182,184
2/27/2024 15:02:31,Female,19,Queer/ LGBTQIA+,White,Liberal Arts,Government,Junior,"So far my week has had both highs and lows. My parents came into town because my brother was competing in UIL state swimming, and seeing them was the highlight of my weekend. On the other hand, my mom brought some bad news about my grandma. She's been dealing with liver/colon cancer for a while now, but she had just done a trial for a new treatment. The trial was horrible, she apparently said that she ""now knows what hell is like."" On top of that, the treatment isn't even guaranteed to bring positive results, and she'd be homebound for a while after it. My grandma is someone who walks for hours a day just because she enjoys it, so being homebound is something that might tank her mental health. I spent a lot of the weekend crying for her; I just wish I could take her place.","I feel resentful and angry at life. This peaked a few weeks ago when I found out that my cousin's cancer had come back, this time in his bone marrow and brain fluid. He spent a significant amount of time going through chemo to get rid of his leukemia, and we'd just visited him in the Netherlands. It felt like having the rug ripped out from under you only to find out there's no floor supporting you. I feel angry that both my grandma and cousin are struggling with this horrible disease. I don't believe in any god, but if they exist I feel especially resentful towards them. I feel so helpless being an ocean away, not even able to give them a hug or talk to them in person. The helplessness turns into self-resentment sometimes, with me criticizing myself for not doing enough or not being able to do anything of value for them.",148,155
2/27/2024 15:04:47,Male,21,Queer/ LGBTQIA+,Asian (including South Asian and Southeast Asian),Natural Sciences,Medical Laboratory Science,Junior,"It’s on Tuesday but the week has been pretty good! I only slept 2 hours last night but worth it because I’m able to relax a bit when attending events that I need to be at and want to enjoy! NSC has some events this week so I’m excited to be able to attend them but I feel like there’s too much (more than I expected) to do this week. Yeah, not much happened thus far but im excited ad stressed for what is to come! This changes the question asked but this weekend that passed I celebrated a friend’s birthday by going camping and although I felt a lot of academic guilt on the trip I think the mind reset was much needed to get through this week.",The other day my very close friend came up to me and COUGHED in my face and they thought it was funny…. Like???? I’m confused as to why you thinking spreading spit and pathogens is funny but go off ig? LOL to be very honest this isnt the first time as well. The first (and maybe second…) time i j laughed it off because my reactions to them coughing were very intense but this was out of the blue while i was packing my bag??? Genuinely so outta pocket lol. I tried to keep composure and just pretended to throw something away. I felt honestly disrespected and genuinely baffled as to why they do this.,129,115
2/27/2024 15:39:45,Female,21,Straight,Asian (including South Asian and Southeast Asian),Natural Sciences,Biology,Senior,"Went home last weekend, was nice to finally see my family for the first time since semester started, I've been needing a break. Was definitely rejuvenating and helped with feeling stressed. Started therapy for the very first time 2 days ago, attending my next session tomorrow. It definitely made me open up and get out a lot of personal things I've had buried and hadn't realized I hadn't gotten over. I did cry, which I expected, but I didn't think I would to that extent. Felt a little awkward but it was ok, the therapist was pretty cool and nice. I'm just hoping I can fix my issues as soon as possible and get out what needs to get out. I just want a little bit of time where I don't have this weight of my future on my shoulders. Just want a little bit of time where I can go to bed without a million things I still have left to fix for my future. ","Got more and more angry the more I realized someone who calls me one of their best friends in college has definitely talked about me behind my back. She's always got the worst things to say about everyone, and can't keep any of her other really good friends' secrets to herself. I've known for a while I need to put up boundaries with her, and I have, but recently I've been realizing how she's probably said things about my friends from home. It's crossing a line for me, and it makes me so angry how people say whatever they want and judge people without even knowing them or what is going on in their personal lives. People without perspective who are always negative and speak without putting themselves in others' shoes makes me so angry. It's irritating, frustrating, annoying, and it makes you look like an idiot no matter how smart you consider yourself to be in school.",166,158
2/27/2024 16:44:59,Female,21,Queer/ LGBTQIA+,"White, Native American/ Native Hawaiian or other Pacific Islander",Liberal Arts,English,Junior,"My week has been just okay, I’m pretty stressed about midterms but I’ve also gotten to hang out with my friends which always makes me happy. I skipped classes for a whole day mainly to catch up on work but also because I was feeling lazy. One of the better parts of my week was going to see a movie with my friend! I bought this subscription to this movie theater where I can see as many new movies as I want and it’s only like $25 a month. I’m excited to take advantage of that. My friend bought the subscription too so hopefully we can see movies together. I’ve also been buying food out a lot which is both a positive and negative thing because I love getting food out but it is not good for me to keep spending money when I have food at home. I accidentally left my headphones at my friend’s apartment over the weekend and for some reason that also stressed me out because I’m always wearing those headphones. All good now because I got them back.","Recently I was pretty angry about a situation with an assignment in a class I’m taking. Basically the assignment asked me to write down observations and connect them with what we were learning in the class, which I thought was easy enough, and I thought I had done a pretty thorough job. But then my prof sent back the assignment to me and said I needed to give specific examples of our learnings in class. I had literally quoted our readings!! I was so confused. I think a lot of students made this mistake because the next day she gave us a small lesson on “reading a rubric”… I was like ok maybe you just need to be making better rubrics because I read the rubric and watched the video she put explaining the assignment and would have never known exactly how she wanted us to reference what we’ve learned. Like she didn’t show us an examples until we had already turned it in. Very annoying.",183,166
2/27/2024 19:32:36,Male,22,Straight,Asian (including South Asian and Southeast Asian),Liberal Arts,Sociology ,Senior,"For the past weekend I went on a trip with my girlfriend to Enchanted Rock. That was our first trip together and it was tiring but nice. I had a mix feeling about this trip since we might start doing long distance soon, and right now there’s so many variables that the long distance situation might last indefinitely. Another significant event would be my first time making cookies and cream ice cream. I’ve been obsessed with Van Leeuwen’s cookies and cream ice cream but it’s so hard to find. The recipe I tried this time is very simple, it only got three ingredients and the process was very straightforward. I am very excited about the final result and I always feel proud when I make  food we buy all the time from scratch.","I normally feel anger when I don’t sleep well. I’d be recalling memories that include unpleasant encounters with someone and imagining that similar situations are going to happen soon in real life, instead this time I’d be handling the situation differently. But other than that I don’t feel anger at all basically, even when I got shit talked in games I’d just be mildly annoyed. Usually this kind of imagination induced anger last very short, the imagination will usually reach a rational conclusion where I handle the situation thoughtfully instead of aggressively, and my anger would end.",133,97
